Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
O32147	XDHA_BACSU	Probable xanthine dehydrogenase subunit A (XDHase subunit A) (EC 1.17.1.4)	pucA yurF BSU32510	Bacillus subtilis (strain 168)	1.17.1.4	36,746		BSU32510
Q05865	FOLC_BACSU	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	folC BSU28080	Bacillus subtilis (strain 168)	6.3.2.12; 6.3.2.17	48,165		BSU28080
O34832	YFME_BACSU	Fe(3+)-citrate import system permease protein YfmE (Ferric-citrate import system permease protein)	yfmE BSU07500	Bacillus subtilis (strain 168)		35,219		BSU07500
O34840	CHAA_BACSU	Ca(2+)/H(+) antiporter ChaA	chaA yfkE BSU07920	Bacillus subtilis (strain 168)		37,522	4KJR;4KJS;	BSU07920
P28820	PABB_BACSU	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	pabB pab BSU00740	Bacillus subtilis (strain 168)	2.6.1.85	53,251		BSU00740
O34849	YERD_BACSU	Glutamate synthase large subunit-like protein YerD	yerD yecE BSU06590	Bacillus subtilis (strain 168)		58,752		BSU06590
P42316	SCOB_BACSU	Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit B (EC 2.8.3.5) (OXCT B) (Succinyl-CoA:3-oxoacid CoA-transferase)	scoB yxjE BSU38980 N15L	Bacillus subtilis (strain 168)	2.8.3.5	23,331	3CDK;	BSU38980
P40871	DHBE_BACSU	2,3-dihydroxybenzoate-AMP ligase (EC 6.2.1.71) (Dihydroxybenzoic acid-activating enzyme)	dhbE entE BSU31980	Bacillus subtilis (strain 168)	6.2.1.71	59,928	1MD9;1MDB;1MDF;	BSU31980
P37530	DGK_BACSU	Deoxyguanosine kinase (DGUO kinase) (dGK) (EC 2.7.1.113)	dgk yaaG BSU00150	Bacillus subtilis (strain 168)	2.7.1.113	24,145		BSU00150
O34893	YNGF_BACSU	Putative enoyl-CoA hydratase/isomerase YngF	yngF BSU18220	Bacillus subtilis (strain 168)		27,872		BSU18220
P39118	GLGB_BACSU	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB BSU30980	Bacillus subtilis (strain 168)	2.4.1.18	73,665		BSU30980
P0CI80	XYLA_BACSU	Xylose isomerase (EC 5.3.1.5)	xylA BSU17600	Bacillus subtilis (strain 168)	5.3.1.5	50,282		BSU17600
P21478	RS21_BACSU	30S ribosomal protein S21 (BS-B)	rpsU yqeX BSU25410	Bacillus subtilis (strain 168)		6,830	7QV1;7QV3;	BSU25410
O05269	GUAC_BACSU	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC yumD BSU32130	Bacillus subtilis (strain 168)	1.7.1.7	35,850		BSU32130
O31777	BIOF1_BACSU	8-amino-7-oxononanoate synthase 1 (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase) (Alpha-oxoamine synthase)	kbl BSU17000	Bacillus subtilis (strain 168)	2.3.1.47	43,284		BSU17000
P03947	TRPD_BACSU	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD BSU22670	Bacillus subtilis (strain 168)	2.4.2.18	36,023		BSU22670
P94552	IABF2_BACSU	Intracellular exo-alpha-L-arabinofuranosidase 2 (ABF) (EC 3.2.1.55) (Intracellular arabinan exo-alpha-L-arabinosidase) (Arabinosidase)	abf2 asd xsa BSU28510	Bacillus subtilis (strain 168)	3.2.1.55	56,475		BSU28510
P42318	YXJG_BACSU	Uncharacterized protein YxjG	yxjG BSU38960 N15NR	Bacillus subtilis (strain 168)		43,165		BSU38960
O34934	NADK2_BACSU	NAD kinase 2 (EC 2.7.1.23) (ATP-dependent NAD kinase 2)	nadK2 BSU29540	Bacillus subtilis (strain 168)	2.7.1.23	30,253		BSU29540
P42980	MGSA_BACSU	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA ypjF BSU22480	Bacillus subtilis (strain 168)	4.2.3.3	15,128	6F2C;	BSU22480
P17585	AADK_BACSU	Aminoglycoside 6-adenylyltransferase (EC 2.7.7.-) (6-O-adenyl-transferase) (AAD(6)) (ANT(6)) (Aminoglycoside inactivating enzyme) (Sm inactivating enzyme) (Streptomycin 6-adenylyltransferase)	aadK BSU26790 HIR78_15755	Bacillus subtilis (strain 168)	2.7.7.-	33,908	2PBE;	BSU26790
P40400	SSUA_BACSU	Putative aliphatic sulfonates-binding protein	ssuA ygbA yzeA BSU08840	Bacillus subtilis (strain 168)		36,336		BSU08840
O05515	TSAE_BACSU	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)	tsaE ydiB BSU05910	Bacillus subtilis (strain 168)		17,906	5MVR;5NP9;	BSU05910
P94360	MSMX_BACSU	Oligosaccharides import ATP-binding protein MsmX (EC 7.5.2.-) (Maltodextrin import ATP-binding protein MsmX) (Melibiose/raffinose/stachyose import ATP-binding protein MsmX)	msmX yxkG BSU38810	Bacillus subtilis (strain 168)	7.5.2.-	41,366	6YIR;	BSU38810
P46354	PUNA_BACSU	Purine nucleoside phosphorylase 1 (PNP 1) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase I) (PNP I) (Pu-NPase I)	punA deoD pnp yqkO BSU23490	Bacillus subtilis (strain 168)	2.4.2.1	29,127		BSU23490
P80880	TRXB_BACSU	Thioredoxin reductase (TRXR) (EC 1.8.1.9) (General stress protein 35) (GSP35)	trxB yvcH BSU34790	Bacillus subtilis (strain 168)	1.8.1.9	34,519		BSU34790
P37815	ATPL_BACSU	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE BSU36860	Bacillus subtilis (strain 168)		7,094		BSU36860
P46919	GPDA_BACSU	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA glyC BSU22830	Bacillus subtilis (strain 168)	1.1.1.94	37,436		BSU22830
O34499	6PGL_BACSU	6-phosphogluconolactonase (EC 3.1.1.31)	pgl ykgB BSU13010	Bacillus subtilis (strain 168)	3.1.1.31	38,411		BSU13010
O34426	SPEH_BACSU	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speH speD ytcF BSU29010	Bacillus subtilis (strain 168)	4.1.1.50	13,873		BSU29010
O07619	YHFT_BACSU	Uncharacterized acyl--CoA ligase YhfT (EC 6.2.1.-)	yhfT BSU10360	Bacillus subtilis (strain 168)	6.2.1.-	52,881		BSU10360
P54448	YQEC_BACSU	Putative 6-phosphogluconate dehydrogenase YqeC (EC 1.1.1.-)	yqeC BSU25730	Bacillus subtilis (strain 168)	1.1.1.-	32,769		BSU25730
P16618	HEM1_BACSU	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA BSU28170	Bacillus subtilis (strain 168)	1.2.1.70	50,844		BSU28170
O34671	GLNM_BACSU	Probable glutamine ABC transporter permease protein GlnM	glnM BSU27450	Bacillus subtilis (strain 168)		23,701		BSU27450
P94404	PADL_BACSU	Probable UbiX-like flavin prenyltransferase (EC 2.5.1.129) (Phenolic acid decarboxylase subunit B) (PAD)	bsdB ubiX yclB BSU03630	Bacillus subtilis (strain 168)	2.5.1.129	22,539		BSU03630
P54594	YHCJ_BACSU	Uncharacterized lipoprotein YhcJ	yhcJ BSU09110	Bacillus subtilis (strain 168)		30,763		BSU09110
P05096	DNAG_BACSU	DNA primase (EC 2.7.7.101)	dnaG dnaE BSU25210	Bacillus subtilis (strain 168)	2.7.7.101	68,736	5GUJ;	BSU25210
P23630	DCDA_BACSU	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA lys BSU23380	Bacillus subtilis (strain 168)	4.1.1.20	48,574		BSU23380
O34645	AGAL_BACSU	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	melA BSU30300	Bacillus subtilis (strain 168)	3.2.1.22	49,264		BSU30300
P54511	LIPM_BACSU	Octanoyltransferase LipM (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]:[GcvH] N-octanoyltransferase)	lipM yqhM BSU24530	Bacillus subtilis (strain 168)	2.3.1.181	32,241		BSU24530
P40948	CORA_BACSU	Magnesium transport protein CorA	corA yqhC yqxL BSU24740	Bacillus subtilis (strain 168)		37,708		BSU24740
O32204	ARCD_BACSU	Putative arginine/ornithine antiporter	yvsH BSU33330	Bacillus subtilis (strain 168)		50,258		BSU33330
P94390	PROD2_BACSU	Proline dehydrogenase 2 (PRODH 2) (EC 1.5.5.2) (Proline oxidase 2)	putB ycgM BSU03200	Bacillus subtilis (strain 168)	1.5.5.2	35,046		BSU03200
P50735	GUDB_BACSU	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB (NAD-GDH) (EC 1.4.1.2)	gudB ypcA BSU22960	Bacillus subtilis (strain 168)	1.4.1.2	47,340	3K8Z;	BSU22960
O07515	TRPP_BACSU	Probable tryptophan transport protein	trpP BSU10010	Bacillus subtilis (strain 168)		18,250		BSU10010
P94398	GCH4_BACSU	GTP cyclohydrolase FolE2 (EC 3.5.4.16) (GTP cyclohydrolase 1B)	folE2 yciA BSU03340	Bacillus subtilis (strain 168)	3.5.4.16	34,564		BSU03340
Q7WY56	SPSL_BACSU	Spore coat polysaccharide biosynthesis protein SpsL	spsL BSU37810 ipa-73d	Bacillus subtilis (strain 168)		17,683		BSU37810
O06485	YFNG_BACSU	Putative sugar dehydratase/epimerase YfnG	yfnG BSU07280	Bacillus subtilis (strain 168)		36,427		BSU07280
P96613	MURF_BACSU	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF ydbQ BSU04570	Bacillus subtilis (strain 168)	6.3.2.10	49,723		BSU04570
P13242	PYRG_BACSU	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG ctrA BSU37150	Bacillus subtilis (strain 168)	6.3.4.2	59,718		BSU37150
P20166	PTG3C_BACSU	PTS system glucose-specific EIICBA component (EC 2.7.1.199) (EII-Glc/EIII-Glc) (EIICBA-Glc) (EIICBA-Glc 1) [Includes: Glucose permease IIC component (PTS system glucose-specific EIIC component); Glucose-specific phosphotransferase enzyme IIB component (PTS system glucose-specific EIIB component); Glucose-specific phosphotransferase enzyme IIA component (PTS system glucose-specific EIIA component)]	ptsG crr ptsX BSU13890	Bacillus subtilis (strain 168)	2.7.1.199	75,525	1AX3;1GPR;	BSU13890
P36945	RBSK_BACSU	Ribokinase (RK) (EC 2.7.1.15)	rbsK BSU35920	Bacillus subtilis (strain 168)	2.7.1.15	31,138		BSU35920
P70994	4OT_BACSU	2-hydroxymuconate tautomerase (EC 5.3.2.6) ((2Z,4E)-2-hydroxyhexa-2,4-dienedioate keto-enol isomerase) (4-oxalocrotonate tautomerase) (4-OT)	ywhB BSU37540	Bacillus subtilis (strain 168)	5.3.2.6	7,145	2OP8;2OPA;	BSU37540
P96718	YWQF_BACSU	UDP-glucose 6-dehydrogenase YwqF (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	ywqF BSU36230	Bacillus subtilis (strain 168)	1.1.1.22	47,784		BSU36230
P39576	ILVE2_BACSU	Branched-chain-amino-acid aminotransferase 2 (BCAT 2) (EC 2.6.1.42) (Vegetative protein 85) (VEG85)	ilvK ywaA BSU38550 ipa-0r	Bacillus subtilis (strain 168)	2.6.1.42	40,292		BSU38550
P40332	IOLX_BACSU	scyllo-inositol 2-dehydrogenase (NAD(+)) (EC 1.1.1.370)	iolX yisS yucG yuxD BSU10850	Bacillus subtilis (strain 168)	1.1.1.370	37,484		BSU10850
P54955	SCMP_BACSU	N-acetylcysteine deacetylase (EC 3.5.1.-) (S-(2-succino)cysteine metabolism operon protein P)	scmP sndB yxeP BSU39470 LP9H	Bacillus subtilis (strain 168)	3.5.1.-	41,552	1YSJ;	BSU39470
O34346	UXUA_BACSU	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)	uxuA yjmE BSU12340	Bacillus subtilis (strain 168)	4.2.1.8	41,024		BSU12340
P40411	FEUC_BACSU	Iron-uptake system permease protein FeuC	feuC BSU01610	Bacillus subtilis (strain 168)		36,090		BSU01610
P80886	SUCC_BACSU	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BSU16090	Bacillus subtilis (strain 168)	6.2.1.5	41,372		BSU16090
P39122	GLGC_BACSU	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC BSU30970	Bacillus subtilis (strain 168)	2.7.7.27	42,603		BSU30970
P08064	DHSC_BACSU	Succinate dehydrogenase cytochrome b558 subunit (Cytochrome b-558)	sdhC BSU28450	Bacillus subtilis (strain 168)		22,931		BSU28450
P54463	YQEW_BACSU	Uncharacterized protein YqeW	yqeW BSU25420	Bacillus subtilis (strain 168)		33,064		BSU25420
P03964	TRPC_BACSU	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC BSU22660	Bacillus subtilis (strain 168)	4.1.1.48	27,741		BSU22660
P71035	URE2_BACSU	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	ureB BSU36650	Bacillus subtilis (strain 168)	3.5.1.5	13,644		BSU36650
O05510	SCRK_BACSU	Putative fructokinase (EC 2.7.1.4) (Glucomannan utilization protein E)	gmuE ydhR BSU05860	Bacillus subtilis (strain 168)	2.7.1.4	32,440	1XC3;3LM9;3OHR;	BSU05860
P37887	CYSK_BACSU	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (Superoxide-inducible protein 11) (SOI11)	cysK BSU00730	Bacillus subtilis (strain 168)	2.5.1.47	32,820		BSU00730
