Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
P96675	YDER_BACSU	Uncharacterized MFS-type transporter YdeR	ydeR BSU05310	Bacillus subtilis (strain 168)		41,144		P96675
P37104	YLXM_BACSU	UPF0122 protein YlxM	ylxM BSU15970	Bacillus subtilis (strain 168)		13,165		P37104
P37526	YAAC_BACSU	Uncharacterized protein YaaC	yaaC BSU00080	Bacillus subtilis (strain 168)		37,978		P37526
P54327	XKDG_BACSU	Putative prophage capsid protein XkdG (Phage-like element PBSX protein XkdG)	xkdG BSU12610	Bacillus subtilis (strain 168)		34,614		P54327
O31642	YJDA_BACSU	Uncharacterized oxidoreductase YjdA (EC 1.-.-.-)	yjdA BSU11980	Bacillus subtilis (strain 168)	1.-.-.-	27,449		O31642
O31629	YJCG_BACSU	Putative phosphoesterase YjcG (EC 3.1.-.-)	yjcG BSU11850	Bacillus subtilis (strain 168)	3.1.-.-	19,661	2D4G;	O31629
P42085	XPT_BACSU	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt BSU22070	Bacillus subtilis (strain 168)	2.4.2.22	21,038	1Y0B;2FXV;6W1I;	P42085
O34889	SDPA_BACSU	Sporulation-delaying protein SdpA	sdpA yvaW BSU33750	Bacillus subtilis (strain 168)		18,651		O34889
P40398	YHXD_BACSU	Uncharacterized oxidoreductase YhxD (EC 1.-.-.-) (ORFY)	yhxD BSU10430	Bacillus subtilis (strain 168)	1.-.-.-	31,909		P40398
O34546	YTTB_BACSU	Uncharacterized MFS-type transporter YttB	yttB BSU30350	Bacillus subtilis (strain 168)		42,451		O34546
P54547	G6PD_BACSU	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49) (Vegetative protein 11) (VEG11)	zwf yqjJ BSU23850	Bacillus subtilis (strain 168)	1.1.1.49	55,632		P54547
P55340	ECSB_BACSU	Protein EcsB	ecsB prsT yhaC BSU10050	Bacillus subtilis (strain 168)		47,300		P55340
O34384	YCEE_BACSU	Uncharacterized protein YceE	yceE BSU02910	Bacillus subtilis (strain 168)		20,948		O34384
P21656	SYW_BACSU	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS BSU11420	Bacillus subtilis (strain 168)	6.1.1.2	37,197	3PRH;	P21656
O06966	YVCB_BACSU	Putative uncharacterized protein YvcB	yvcB yvrB BSU34840	Bacillus subtilis (strain 168)		72,662		O06966
P37509	YYAO_BACSU	Uncharacterized protein YyaO	yyaO BSU40790	Bacillus subtilis (strain 168)		9,143		P37509
P96624	YDCG_BACSU	UPF0310 protein YdcG	ydcG BSU04760	Bacillus subtilis (strain 168)		16,604		P96624
O31652	COXX1_BACSU	Protoheme IX farnesyltransferase 1 (EC 2.5.1.141) (Heme B farnesyltransferase 1) (Heme O synthase 1)	ctaB1 ctaO BSU12080	Bacillus subtilis (strain 168)	2.5.1.141	35,638		O31652
O34479	YOSQ_BACSU	SPbeta prophage-derived putative HNH homing endonuclease YosQ (EC 3.1.-.-)	yosQ yojR BSU20050	Bacillus subtilis (strain 168)	3.1.-.-	20,119		O34479
P54537	ARTM_BACSU	Arginine transport ATP-binding protein ArtM	artM yqiZ BSU23960	Bacillus subtilis (strain 168)		26,950		P54537
P96724	NFI_BACSU	Endonuclease V (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V)	nfi ywqL BSU36170	Bacillus subtilis (strain 168)	3.1.21.7	27,023	3GA2;	P96724
P05645	LEU3_BACSU	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB leuC BSU28270	Bacillus subtilis (strain 168)	1.1.1.85	39,844		P05645
P50863	APBC_BACSU	Iron-sulfur cluster carrier protein	salA mrp rec233 ybaL ybxI BSU01540	Bacillus subtilis (strain 168)		38,639		P50863
P40739	PTV3B_BACSU	PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]	bglP BSU39270 N17C	Bacillus subtilis (strain 168)	2.7.1.-	64,478		P40739
O31526	YESW_BACSU	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)	yesW BSU07050	Bacillus subtilis (strain 168)	4.2.2.23	67,587	2Z8R;2Z8S;2ZUX;	O31526
O31557	YFJB_BACSU	Uncharacterized protein YfjB	yfjB BSU08160	Bacillus subtilis (strain 168)		43,655		O31557
P23545	PHOR_BACSU	Alkaline phosphatase synthesis sensor protein PhoR (EC 2.7.13.3)	phoR BSU29100	Bacillus subtilis (strain 168)	2.7.13.3	65,122	3CWF;	P23545
C0SPB6	SSBB_BACSU	Single-stranded DNA-binding protein B (SSB B)	ssbB ywpH BSU36310	Bacillus subtilis (strain 168)		12,520	3VDY;	C0SPB6
P31080	LEXA_BACSU	LexA repressor (EC 3.4.21.88) (SOS regulatory protein DinR)	lexA dinR BSU17850	Bacillus subtilis (strain 168)	3.4.21.88	22,849		P31080
P68524	NRDIB_BACSU	SPbeta prophage-derived protein NrdI (BnrdI)	nrdIB yosM BSU20070	Bacillus subtilis (strain 168)		14,655		P68524
O34893	YNGF_BACSU	Putative enoyl-CoA hydratase/isomerase YngF	yngF BSU18220	Bacillus subtilis (strain 168)		27,872		O34893
O34336	YOPP_BACSU	SPbeta prophage-derived probable integrase/recombinase YopP	yopP BSU20810	Bacillus subtilis (strain 168)		41,596		O34336
P45944	YQCI_BACSU	Uncharacterized protein YqcI	yqcI BSU25820	Bacillus subtilis (strain 168)		30,104		P45944
O31784	PKSR_BACSU	Polyketide synthase PksR (EC 2.3.1.-)	pksR BSU17220	Bacillus subtilis (strain 168)	2.3.1.-	285,109	4U3V;	O31784
O31822	YNGB_BACSU	UTP--glucose-1-phosphate uridylyltransferase YngB (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase) (Uridine diphosphoglucose pyrophosphorylase)	yngB BSU18180	Bacillus subtilis (strain 168)	2.7.7.9	33,147	7B1R;7O2N;	O31822
P54540	YQJC_BACSU	Uncharacterized protein YqjC	yqjC BSU23930	Bacillus subtilis (strain 168)		15,742		P54540
Q07833	WAPA_BACSU	tRNA nuclease WapA (EC 3.1.-.-) (Cell wall-associated polypeptide CWBP200) (CWBP200) (RNase WapA) (Toxin WapA) (Wall-associated protein)	wapA BSU39230 N17G	Bacillus subtilis (strain 168)	3.1.-.-	258,162		Q07833
A0A0C3JCX8	A0A0C3JCX8_BACIU	Uncharacterized protein ypzE	B4122_2183 SC09_Contig24orf00428	Bacillus subtilis		5,150		A0A0C3JCX8
O31943	YONR_BACSU	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YonR	yonR BSU21020	Bacillus subtilis (strain 168)		12,371		O31943
P29141	SUBV_BACSU	Minor extracellular protease vpr (EC 3.4.21.-)	vpr BSU38090 ipa-45r	Bacillus subtilis (strain 168)	3.4.21.-	85,608		P29141
P42317	YXJF_BACSU	Uncharacterized oxidoreductase YxjF (EC 1.-.-.-)	yxjF BSU38970 N15M	Bacillus subtilis (strain 168)	1.-.-.-	27,512		P42317
P94464	RSMB_BACSU	Probable ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	rsmB sun yloM BSU15740	Bacillus subtilis (strain 168)	2.1.1.176	50,274		P94464
O34623	DPO3A_BACSU	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE BSU29230	Bacillus subtilis (strain 168)	2.7.7.7	125,350		O34623
O34973	YTAP_BACSU	Putative hydrolase YtaP (EC 3.-.-.-)	ytaP BSU30250	Bacillus subtilis (strain 168)	3.-.-.-	33,777		O34973
P37523	YYAB_BACSU	Uncharacterized protein YyaB	yyaB BSU40980	Bacillus subtilis (strain 168)		16,894		P37523
O34509	YOPZ_BACSU	SPbeta prophage-derived uncharacterized protein YopZ	yopZ BSU20710	Bacillus subtilis (strain 168)		7,962		O34509
O31417	YAZB_BACSU	Uncharacterized HTH-type transcriptional regulator YazB	yazB BSU00800	Bacillus subtilis (strain 168)		7,553		O31417
O34816	YKUD_BACSU	Putative L,D-transpeptidase YkuD (EC 2.-.-.-) (Spore protein YkuD)	ykuD BSU14040	Bacillus subtilis (strain 168)	2.-.-.-	17,643	1Y7M;2MTZ;3ZQD;4A1I;4A1J;4A1K;4A52;	O34816
O31512	YESF_BACSU	Uncharacterized oxidoreductase YesF (EC 1.-.-.-)	yesF yeeM yfxB BSU06880	Bacillus subtilis (strain 168)	1.-.-.-	31,495		O31512
P50726	FMNP_BACSU	Riboflavin transporter FmnP (FMN permease) (Riboflavin ECF transporter S component FmnP)	fmnP ribU ypaA BSU23050	Bacillus subtilis (strain 168)		20,553		P50726
P28821	PABC_BACSU	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	pabC BSU00760	Bacillus subtilis (strain 168)	4.1.3.38	33,515		P28821
P37529	DCK_BACSU	Deoxyadenosine/deoxycytidine kinase (dAK/dCK) (EC 2.7.1.74) (EC 2.7.1.76)	dck dak yaaF BSU00140	Bacillus subtilis (strain 168)	2.7.1.74; 2.7.1.76	25,444		P37529
P54159	DYNA_BACSU	Dynamin-like protein A (DynA)	dynA ypbR BSU22030	Bacillus subtilis (strain 168)		137,385		P54159
P53561	YTCP_BACSU	Polygalacturonan/rhamnogalacturonan transport system permease protein YtcP	ytcP BSU30170	Bacillus subtilis (strain 168)		31,693		P53561
P96650	YDDM_BACSU	Uncharacterized protein YddM	yddM BSU05030	Bacillus subtilis (strain 168)		36,202		P96650
O34651	HISX_BACSU	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD BSU34910	Bacillus subtilis (strain 168)	1.1.1.23	46,256		O34651
P42095	RECO_BACSU	DNA repair protein RecO (Recombination protein O)	recO yqfI yqxN BSU25280	Bacillus subtilis (strain 168)		29,328		P42095
P40871	DHBE_BACSU	2,3-dihydroxybenzoate-AMP ligase (EC 6.2.1.71) (Dihydroxybenzoic acid-activating enzyme)	dhbE entE BSU31980	Bacillus subtilis (strain 168)	6.2.1.71	59,928	1MD9;1MDB;1MDF;	P40871
O06723	YISJ_BACSU	Inner spore coat protein H-like protein	yisJ BSU10740	Bacillus subtilis (strain 168)		35,684		O06723
P96499	TAGV_BACSU	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagV (EC 2.7.8.-)	tagV yvhJ BSU35520	Bacillus subtilis (strain 168)	2.7.8.-	43,211	3NXH;6UF3;	P96499
O31968	YOMP_BACSU	SPbeta prophage-derived uncharacterized protein YomP	yomP BSU21270	Bacillus subtilis (strain 168)		7,309		O31968
O32437	COMZ_BACSU	ComG operon repressor	comZ BSU11310	Bacillus subtilis (strain 168)		7,214		O32437
P37464	SYS_BACSU	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS BSU00130	Bacillus subtilis (strain 168)	6.1.1.11	48,842		P37464
P25144	CCPA_BACSU	Catabolite control protein A (Glucose-resistance amylase regulator)	ccpA alsA amyR graR BSU29740	Bacillus subtilis (strain 168)		36,940	1ZVV;2FEP;3OQM;3OQN;3OQO;	P25144
P39765	PYRR_BACSU	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR BSU15470	Bacillus subtilis (strain 168)	2.4.2.9	20,263	1A3C;1A4X;4P82;	P39765
P94494	ALR2_BACSU	Alanine racemase 2 (EC 5.1.1.1)	alr2 yncD BSU17640	Bacillus subtilis (strain 168)	5.1.1.1	43,648	5IRP;6Q70;6Q71;6Q72;	P94494
P68585	MTBP_BACSU	Putative type II methyltransferase M.BsuMIIP (M.BsuMIIP) (EC 2.1.1.37) (Cytosine-specific methyltransferase Phi3TI) (Phi-3T prophage-derived modification methylase Phi3TI) (M.Phi3TI)	mtbP BSU20250	Bacillus subtilis (strain 168)	2.1.1.37	50,510		P68585
P50836	YPQA_BACSU	Uncharacterized protein YpqA	ypqA BSU22240	Bacillus subtilis (strain 168)		16,324		P50836
P45929	YQBM_BACSU	Uncharacterized protein YqbM	yqbM BSU26060	Bacillus subtilis (strain 168)		16,281		P45929
P21458	SP3E_BACSU	DNA translocase SpoIIIE (Stage III sporulation protein E)	spoIIIE ftsK BSU16800	Bacillus subtilis (strain 168)		87,181		P21458
O34699	YOTJ_BACSU	SPbeta prophage-derived uncharacterized protein YotJ	yotJ yokG BSU19860	Bacillus subtilis (strain 168)		8,485		O34699
O31720	YKZC_BACSU	Uncharacterized protein YkzC	ykzC BSU14680	Bacillus subtilis (strain 168)		16,295		O31720
O32051	YRZE_BACSU	Uncharacterized membrane protein YrzE	yrzE BSU27690	Bacillus subtilis (strain 168)		16,325		O32051
P39133	YHBF_BACSU	Uncharacterized protein YhbF	yhbF yzdB BSU08960	Bacillus subtilis (strain 168)		25,070		P39133
O07015	RSBQ_BACSU	Sigma factor SigB regulation protein RsbQ	rsbQ yvfQ BSU34100	Bacillus subtilis (strain 168)		30,020	1WOM;1WPR;	O07015
P40949	TAPA_BACSU	TasA anchoring/assembly protein (Biofilm assembly accessory protein TapA)	tapA yqhD yqxM BSU24640	Bacillus subtilis (strain 168)		29,075	6HQC;6QAY;	P40949
P25150	YWAE_BACSU	Uncharacterized HTH-type transcriptional regulator YwaE	ywaE BSU38450 ipa-10r	Bacillus subtilis (strain 168)		19,640		P25150
P20282	RS13_BACSU	30S ribosomal protein S13 (BS14)	rpsM BSU01410	Bacillus subtilis (strain 168)		13,787	3J9W;5NJT;6HA1;6HA8;6HTQ;7O5B;7QV1;7QV2;7QV3;	P20282
P42105	YXAF_BACSU	Uncharacterized HTH-type transcriptional regulator YxaF	yxaF BSU39990 S14F	Bacillus subtilis (strain 168)		21,079	1SGM;	P42105
O05496	YDHE_BACSU	Uncharacterized UDP-glucosyltransferase YdhE (EC 2.4.1.-)	ydhE BSU05720	Bacillus subtilis (strain 168)	2.4.1.-	44,545		O05496
P19080	AROH_BACSU	Chorismate mutase AroH (CM) (EC 5.4.99.5)	aroH BSU22690	Bacillus subtilis (strain 168)	5.4.99.5	14,517	1COM;1DBF;1FNJ;1FNK;2CHS;2CHT;3ZO8;3ZOP;3ZP4;3ZP7;	P19080
P71071	YUKD_BACSU	ESX secretion system protein YukD	yukD BSU31900	Bacillus subtilis (strain 168)		9,076	2BPS;	P71071
P54457	IOJAP_BACSU	Ribosomal silencing factor RsfS	rsfS yqeL BSU25620	Bacillus subtilis (strain 168)		13,299		P54457
P13485	TAGF_BACSU	Teichoic acid poly(glycerol phosphate) polymerase (EC 2.7.8.12) (CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase) (CGPTase) (Major teichoic acid biosynthesis protein F) (Poly(glycerol phosphate) polymerase) (Tag polymerase)	tagF rodC tag3 BSU35720	Bacillus subtilis (strain 168)	2.7.8.12	88,063		P13485
O34759	YDJO_BACSU	Uncharacterized protein YdjO	ydjO BSU06270	Bacillus subtilis (strain 168)		7,847		O34759
P37486	YYBR_BACSU	Uncharacterized HTH-type transcriptional regulator YybR	yybR BSU40540	Bacillus subtilis (strain 168)		14,731	4A5M;4A5N;	P37486
P46904	NATB_BACSU	ABC transporter permease protein NatB (ABC-type Na(+) transporter) (EC 7.2.2.4)	natB BSU02760	Bacillus subtilis (strain 168)	7.2.2.4	42,793		P46904
Q9R9I1	HTRB_BACSU	Serine protease Do-like HtrB (EC 3.4.21.107) (HtrA-like serine protease)	htrB yvtA BSU33000	Bacillus subtilis (strain 168)	3.4.21.107	48,717		Q9R9I1
O31894	YORT_BACSU	SPbeta prophage-derived uncharacterized protein YorT	yorT BSU20260	Bacillus subtilis (strain 168)		4,696		O31894
P27620	TAGA_BACSU	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase (EC 2.4.1.187) (Major teichoic acid biosynthesis protein A) (N-acetylmannosaminyltransferase) (UDP-N-acetylmannosamine transferase) (UDP-N-acetylmannosamine:N-acetylglucosaminyl pyrophosphorylundecaprenol N-acetylmannosaminyltransferase)	tagA BSU35750	Bacillus subtilis (strain 168)	2.4.1.187	29,499		P27620
O34835	FAPR_BACSU	Transcription factor FapR (Fatty acid and phospholipid biosynthesis regulator)	fapR ylpC BSU15880	Bacillus subtilis (strain 168)		21,400	2F3X;2F41;	O34835
P39814	TOP1_BACSU	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA topI BSU16120	Bacillus subtilis (strain 168)	5.6.2.1	79,078		P39814
P37484	GDPP_BACSU	Cyclic-di-AMP phosphodiesterase GdpP (c-di-AMP phosphodiesterase YybT) (EC 3.1.4.59) (Cyclic-di-AMP hydrolase GdpP) (Cyclic-di-AMP phosphodiesterase YybT)	gdpP yybT BSU40510	Bacillus subtilis (strain 168)	3.1.4.59	74,325		P37484
P20964	OBG_BACSU	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg) (OrfA) (Spo0B-associated GTP-binding protein)	obg BSU27920	Bacillus subtilis (strain 168)	3.6.5.-	47,689	1LNZ;	P20964
P18158	GLPD_BACSU	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	glpD BSU09300	Bacillus subtilis (strain 168)	1.1.5.3	62,568		P18158
P39635	ROCB_BACSU	Protein RocB	rocB BSU37770 ipa-77d	Bacillus subtilis (strain 168)		64,909		P39635
P11470	GERE_BACSU	Spore germination protein GerE	gerE BSU28410	Bacillus subtilis (strain 168)		8,588	1FSE;	P11470
P94532	CSTA_BACSU	Peptide transporter CstA (Carbon starvation protein A homolog)	cstA BSU28710	Bacillus subtilis (strain 168)		64,333		P94532
O31865	YOTL_BACSU	SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YotL	yotL yokH BSU19840	Bacillus subtilis (strain 168)		9,294		O31865
O31511	YESE_BACSU	Uncharacterized protein YesE	yesE yeeL BSU06870	Bacillus subtilis (strain 168)		17,123	1S5A;	O31511
O34970	YTTP_BACSU	Probable HTH-type transcriptional regulator YttP (Stress response protein YttP)	yttP BSU29630	Bacillus subtilis (strain 168)		24,388	6MJ1;	O34970
P11742	OGT_BACSU	Methylated-DNA--protein-cysteine methyltransferase, constitutive (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	ogt dat dat1 BSU13540	Bacillus subtilis (strain 168)	2.1.1.63	18,752		P11742
P37963	SP6D_BACSU	Stage VI sporulation protein D	spoVID BSU28110	Bacillus subtilis (strain 168)		64,977		P37963
O32106	AMPA_BACSU	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA yuiE BSU32050	Bacillus subtilis (strain 168)	3.4.11.1; 3.4.11.10	53,658		O32106
O31901	YORM_BACSU	SPbeta prophage-derived uncharacterized protein YorM	yorM BSU20330	Bacillus subtilis (strain 168)		27,095		O31901
P71057	EPSH_BACSU	Putative glycosyltransferase EpsH (EC 2.4.-.-)	epsH yveR BSU34300	Bacillus subtilis (strain 168)	2.4.-.-	39,809		P71057
O31967	YOMQ_BACSU	SPbeta prophage-derived uncharacterized protein YomQ	yomQ BSU21260	Bacillus subtilis (strain 168)		13,283		O31967
Q45480	YLYB_BACSU	Uncharacterized RNA pseudouridine synthase YlyB (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	ylyB ylmL BSU15460	Bacillus subtilis (strain 168)	5.4.99.-	33,726		Q45480
O34324	DLDH3_BACSU	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of acetoin cleaving system)	acoL yfjH BSU08090	Bacillus subtilis (strain 168)	1.8.1.4	48,853		O34324
P21880	DLDH1_BACSU	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate complex) (S complex, 50 kDa subunit)	pdhD aceD citL BSU14610	Bacillus subtilis (strain 168)	1.8.1.4	49,733		P21880
P38425	YQXA_BACSU	Uncharacterized protein YqxA (ORF79)	yqxA yqeP BSU25520	Bacillus subtilis (strain 168)		12,521		P38425
P39651	YWFO_BACSU	Uncharacterized protein YwfO	ywfO BSU37600 ipa-93d	Bacillus subtilis (strain 168)		50,974		P39651
O34600	NRNA_BACSU	Bifunctional oligoribonuclease and PAP phosphatase NrnA (EC 3.1.-.-) (3'(2'),5'-bisphosphate nucleotidase) (EC 3.1.3.7) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (nanoRNase)	nrnA ytqI BSU29250	Bacillus subtilis (strain 168)	3.1.-.-; 3.1.3.7	35,084	5IPP;5IUF;5IZO;5J21;	O34600
P71065	EPSO_BACSU	Putative pyruvyl transferase EpsO (EC 2.-.-.-)	epsO yvfF BSU34220	Bacillus subtilis (strain 168)	2.-.-.-	37,275		P71065
O31940	YONU_BACSU	SPbeta prophage-derived uncharacterized protein YonU	yonU BSU20990	Bacillus subtilis (strain 168)		7,407		O31940
O34311	YKOW_BACSU	Signaling protein YkoW	ykoW BSU13420	Bacillus subtilis (strain 168)		90,395		O34311
O31913	YOQZ_BACSU	SPbeta prophage-derived UPF0714 protein YoqZ	yoqZ BSU20460	Bacillus subtilis (strain 168)		30,364		O31913
O31555	YFJD_BACSU	Uncharacterized lipoprotein YfjD	yfjD BSU08140	Bacillus subtilis (strain 168)		21,686		O31555
P40870	S5AEA_BACSU	Stage V sporulation protein AE	spoVAEA spoVAE BSU23401 BSU23400	Bacillus subtilis (strain 168)		21,740		P40870
P70972	ECFT_BACSU	Energy-coupling factor transporter transmembrane protein EcfT (ECF transporter T component EcfT)	ecfT ybaF BSU01470	Bacillus subtilis (strain 168)		29,784		P70972
O07635	YLAK_BACSU	Uncharacterized protein YlaK	ylaK BSU14810	Bacillus subtilis (strain 168)		49,331		O07635
P42958	TTUC_BACSU	Probable tartrate dehydrogenase/decarboxylase (TDH) (EC 1.1.1.93) (EC 4.1.1.73) (D-malate dehydrogenase [decarboxylating]) (EC 1.1.1.83)	ycsA BSU04000	Bacillus subtilis (strain 168)	1.1.1.93; 4.1.1.73; 1.1.1.83	38,728		P42958
Q08794	YCXC_BACSU	Uncharacterized transporter YcxC	ycxC BSU03550	Bacillus subtilis (strain 168)		34,089		Q08794
O32219	CADA_BACSU	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA yvgW BSU33490	Bacillus subtilis (strain 168)	7.2.2.12; 7.2.2.21	75,405		O32219
P14802	YOXD_BACSU	Uncharacterized oxidoreductase YoxD (EC 1.-.-.-)	yoxD BSU18500	Bacillus subtilis (strain 168)	1.-.-.-	25,299		P14802
O31590	TRML_BACSU	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase CspR)	cspR ygaR BSU08930	Bacillus subtilis (strain 168)	2.1.1.207	18,577		O31590
P46208	HTPG_BACSU	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	htpG yxbB BSU39820 SS92A	Bacillus subtilis (strain 168)		72,258		P46208
P45936	YQCA_BACSU	Uncharacterized protein YqcA	yqcA BSU25970	Bacillus subtilis (strain 168)		22,248		P45936
P54164	YPEP_BACSU	Uncharacterized protein YpeP	ypeP BSU21970	Bacillus subtilis (strain 168)		25,853		P54164
P25996	PYRDB_BACSU	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))	pyrD pyrDA pyrDI BSU15540	Bacillus subtilis (strain 168)	1.3.1.14	33,091		P25996
P50744	YPHE_BACSU	Uncharacterized protein YphE	yphE BSU22820	Bacillus subtilis (strain 168)		7,522		P50744
O05409	SIGZ_BACSU	RNA polymerase sigma factor SigZ	sigZ BSU26840	Bacillus subtilis (strain 168)		20,717		O05409
P94493	YNCC_BACSU	Putative metabolite transport protein YncC	yncC BSU17630	Bacillus subtilis (strain 168)		51,786		P94493
Q99171	TEPA_BACSU	Translocation-enhancing protein TepA	tepA ylxI ymfB BSU16790	Bacillus subtilis (strain 168)		26,918		Q99171
P53559	BIOW_BACSU	6-carboxyhexanoate--CoA ligase (EC 6.2.1.14) (Pimeloyl-CoA synthase)	bioW BSU30240	Bacillus subtilis (strain 168)	6.2.1.14	29,630	5FLG;5FLL;5FM0;5G1F;	P53559
P54161	EX53_BACSU	5'-3' exonuclease (EC 3.1.11.-)	ypcP BSU22010	Bacillus subtilis (strain 168)	3.1.11.-	32,944		P54161
P30950	HEM2_BACSU	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB BSU28130	Bacillus subtilis (strain 168)	4.2.1.24	36,209		P30950
